customer_id,months_since_last_txn,avg_spending_3m,avg_spending_prev3m,spending_trend_ratio,monthly_txn_count_3m,num_missed_months,days_since_app_login,loyalty_points_balance,num_active_benefits,years_as_customer,card_tier,primary_spending_category,payment_method,engagement_level,inactive_risk
HCC_00001,0.2,82.0,118.0,0.695,7.0,0,37.0,23845.0,4,7.8,Blue,shopping,offline_nfc,medium,0
HCC_00002,0.8,122.0,89.0,1.37,10.0,0,56.0,8722.0,7,0.7,Red,dining,offline_nfc,low,0
HCC_00003,0.7,58.0,68.0,0.858,5.0,0,22.0,9909.0,6,5.9,Blue,convenience,offline_nfc,medium,0
HCC_00004,0.6,35.0,31.0,1.131,6.0,0,17.0,40361.0,9,11.1,Blue,convenience,offline_nfc,medium,0
HCC_00005,0.8,12.0,67.0,0.176,6.0,5,60.0,2297.0,8,0.6,Black,dining,offline_swipe,high,0
HCC_00006,0.9,60.0,55.0,1.09,8.0,1,100.0,1487.0,7,7.1,Blue,shopping,offline_nfc,low,0
HCC_00007,0.3,32.0,37.0,0.872,3.0,0,11.0,9184.0,4,1.2,Blue,travel,app,low,0
HCC_00008,0.2,101.0,130.0,0.776,9.0,0,91.0,1846.0,2,0.5,Blue,convenience,offline_nfc,medium,0
HCC_00009,0.5,323.0,332.0,0.974,20.0,0,32.0,3196.0,9,0.4,Black,online,offline_nfc,low,1
HCC_00010,0.2,41.0,53.0,0.771,9.0,0,22.0,18444.0,4,2.1,Red,dining,online,medium,0
HCC_00011,0.5,39.0,137.0,0.283,5.0,1,156.0,15223.0,3,0.1,Red,dining,offline_nfc,low,1
HCC_00012,0.3,48.0,40.0,1.197,7.0,0,49.0,6018.0,3,1.1,Blue,convenience,offline_nfc,low,0
HCC_00013,0.5,71.0,71.0,0.993,6.0,0,140.0,6338.0,5,2.1,Blue,dining,offline_nfc,medium,1
HCC_00014,0.5,43.0,52.0,0.826,7.0,0,44.0,14326.0,4,2.3,Blue,convenience,offline_swipe,low,0
HCC_00015,0.7,112.0,177.0,0.63,11.0,1,8.0,4334.0,7,0.9,Red,dining,app,medium,0
HCC_00016,3.3,31.0,64.0,0.479,7.0,3,12.0,7728.0,2,1.5,Red,shopping,offline_swipe,low,1
HCC_00017,0.7,243.0,246.0,0.987,18.0,0,69.0,5331.0,5,0.8,Red,travel,offline_swipe,medium,0
HCC_00018,0.6,147.0,105.0,1.404,10.0,1,44.0,19529.0,5,1.1,Black,convenience,online,low,0
HCC_00019,0.8,53.0,54.0,0.981,4.0,1,235.0,3014.0,3,4.8,Blue,dining,app,low,1
HCC_00020,1.3,17.0,33.0,0.505,5.0,1,324.0,21931.0,3,2.1,Blue,convenience,online,low,1
HCC_00021,1.2,111.0,112.0,0.988,10.0,1,274.0,16992.0,7,5.5,Blue,convenience,online,low,1
HCC_00022,0.7,202.0,224.0,0.904,14.0,0,62.0,5989.0,4,1.1,Red,convenience,offline_swipe,low,1
